央视,#genre#
CCTV-1HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/111128@BESTV.SMG.SMG
CCTV-2HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/5000036@BESTV.SMG.SMG
CCTV-3HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/1369028@BESTV.SMG.SMG
CCTV-4HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/1349@BESTV.SMG.SMGC
CTV-5HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/1369029@BESTV.SMG.SMG
CCTV-6HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/1369030@BESTV.SMG.SMG
CCTV-7HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/1352@BESTV.SMG.SMG
CCTV-8HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/1369033@BESTV.SMG.SMG
CCTV-9HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/5000039@BESTV.SMG.SMG
CCTV-10HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/3949784@BESTV.SMG.SMG
CCTV-11HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/6000053@BESTV.SMG.SMG
CCTV-12HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/5000040@BESTV.SMG.SMG
CCTV-新闻HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/6000054@BESTV.SMG.SMG
CCTV-少儿HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/3949788@BESTV.SMG.SMG
CCTV-音乐HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/6000055@BESTV.SMG.SMG
CCTV-16HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/6000061@BESTV.SMG.SMG
CCTV-17HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/5000041@BESTV.SMG.SMG
CCTV-5+HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/6000068@BESTV.SMG.SMG
卫视,#genre#
辽宁卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/3450001@BESTV.SMG.SMG
东方卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/111131@BESTV.SMG.SMG
北京卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/181361@BESTV.SMG.SMG
重庆卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/3840707@BESTV.SMG.SMG
天津卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/3450000@BESTV.SMG.SMG
湖南卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/181358@BESTV.SMG.SMG
浙江卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/111130@BESTV.SMG.SMG
江苏卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/111129@BESTV.SMG.SMG
贵州卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/4252663@BESTV.SMG.SMG
深圳卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/181362@BESTV.SMG.SMG
山东卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/911992@BESTV.SMG.SMG
河南卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/5000044@BESTV.SMG.SM
湖北卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/911989@BESTV.SMG.SMG
东南卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/3540417@BESTV.SMG.SMG
广东卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/181359@BESTV.SMG.SMG
四川卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/3840706@BESTV.SMG.SMG
陕西卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/7105@BESTV.SMG.SMG
山西卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/1344@BESTV.SMG.SMG
甘肃卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/6000067@BESTV.SMG.SMG
宁夏卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/160782@BESTV.SMG.SMG
安徽卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/3540416@BESTV.SMG.SMG
吉林卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/5000046@BESTV.SMG.SMG
黑龙江卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/181356@BESTV.SMG.SMG
海南卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/4252684@BESTV.SMG.SMG
河北卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/100000002@BESTV.SMG.SMG
云南卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/5000043@BESTV.SMG.SMG
江西卫视HD,http://129.204.5.226/bstv.php?r=1&t=3&id=Umai:CHAN/3468921@BESTV.SMG.SMG
