央视,#genre#
CCTV1综合,http://129.204.5.226/mg.php?id=608807420
CCTV2财经,http://129.204.5.226/mg.php?id=631780532
CCTV3综艺,http://129.204.5.226/mg.php?id=624878271
CCTV4中文国际,http://129.204.5.226/mg.php?id=631780421
CCTV5体育,http://129.204.5.226/mg.php?id=641886683
CCTV5+体育赛事,http://129.204.5.226/mg.php?id=641886773
CCTV6电影,http://129.204.5.226/mg.php?id=624878396
CCTV7国防军事,http://129.204.5.226/mg.php?id=673168121
CCTV8电视剧,http://129.204.5.226/mg.php?id=624878356
CCTV9纪录,http://129.204.5.226/mg.php?id=673168140
CCTV10科教,http://129.204.5.226/mg.php?id=624878405
CCTV11戏曲,http://129.204.5.226/mg.php?id=667987558
CCTV12社会与法,http://129.204.5.226/mg.php?id=673168185
CCTV13新闻,http://129.204.5.226/mg.php?id=608807423
CCTV14少儿,http://129.204.5.226/mg.php?id=624878440
CCTV15音乐,http://129.204.5.226/mg.php?id=673168223
CETV1,http://129.204.5.226/mg.php?id=923287154
CETV2,http://129.204.5.226/mg.php?id=923287211
CETV4,http://129.204.5.226/mg.php?id=923287339
卫视,#genre#
东南卫视,http://129.204.5.226/mg.php?id=849116810
东方卫视,http://129.204.5.226/mg.php?id=651632648
中国农林卫视,http://129.204.5.226/mg.php?id=956904896
兵团卫视,http://129.204.5.226/mg.php?id=956923145
吉林卫视,http://129.204.5.226/mg.php?id=947472500
大湾区卫视,http://129.204.5.226/mg.php?id=608917627
宁夏卫视,http://129.204.5.226/mg.php?id=738910535
广东卫视,http://129.204.5.226/mg.php?id=608831231
江苏卫视,http://129.204.5.226/mg.php?id=623899368
江西卫视,http://129.204.5.226/mg.php?id=783847495
河南卫视,http://129.204.5.226/mg.php?id=790187291
海南卫视,http://129.204.5.226/mg.php?id=947472502
海峡卫视,http://129.204.5.226/mg.php?id=849119120
湖北卫视,http://129.204.5.226/mg.php?id=947472496
辽宁卫视,http://129.204.5.226/mg.php?id=630291707
陕西卫视,http://129.204.5.226/mg.php?id=738910838
青海卫视,http://129.204.5.226/mg.php?id=947472506
其它,#genre#
CHC动作电影,http://129.204.5.226/mg.php?id=644368714
CHC家庭影院,http://129.204.5.226/mg.php?id=644368373
CHC影迷电影,http://129.204.5.226/mg.php?id=952383261
上视东方影视,http://129.204.5.226/mg.php?id=617290047
