央视频道,#genre#
CCTV1,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV2,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-2H265_4000.m3u8
CCTV3,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-3H265_4000.m3u8
CCTV4,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV4K,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/ys4Kcq_2000
CCTV5,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV5+,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-5plusH265_4000.m3u8
CCTV6,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-6H265_4000.m3u8
CCTV7,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-7H265_4000.m3u8
CCTV8,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-8H265_4000.m3u8
CCTV9,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-9H265_4000.m3u8
CCTV10,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-10H265_4000.m3u8
CCTV11,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-11-H265_4000.m3u8
CCTV12,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-12H265_4000.m3u8
CCTV13,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-xw_4000.m3u8
CCTV14,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-14H265_4000.m3u8
CCTV15,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-15-yyH265_4000.m3u8
CCTV16,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-16_4000.m3u8
CCTV16-4k,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-16-4K_8000
CCTV17,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-17_4000.m3u8
CGTN,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CGTN_4000.m3u8
CGTN西语,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/xbyy_2000
