央卫,#genre#
CCTV-01,http://itv.iptv1688.top:2016/itv.php?id=CCTV1
CCTV-02,http://itv.iptv1688.top:2016/itv.php?id=CCTV2
CCTV-03,http://itv.iptv1688.top:2016/itv.php?id=CCTV3
CCTV-04,http://itv.iptv1688.top:2016/itv.php?id=CCTV4
CCTV-05,http://itv.iptv1688.top:2016/itv.php?id=CCTV5
CCTV-5+,http://itv.iptv1688.top:2016/itv.php?id=CCTV5p
CCTV-06,http://itv.iptv1688.top:2016/itv.php?id=CCTV6
CCTV-07,http://itv.iptv1688.top:2016/itv.php?id=CCTV7
CCTV-08,http://itv.iptv1688.top:2016/itv.php?id=CCTV8
CCTV-09,http://itv.iptv1688.top:2016/itv.php?id=CCTV9
CCTV-10,http://itv.iptv1688.top:2016/itv.php?id=CCTV10
CCTV-11,http://itv.iptv1688.top:2016/itv.php?id=CCTV11
CCTV-12,http://itv.iptv1688.top:2016/itv.php?id=CCTV12
CCTV-13,http://itv.iptv1688.top:2016/itv.php?id=CCTV13
CCTV-14,http://itv.iptv1688.top:2016/itv.php?id=CCTV14
CCTV-15,http://itv.iptv1688.top:2016/itv.php?id=CCTV15
CCTV-16,http://itv.iptv1688.top:2016/itv.php?id=CCTV16
CCTV-17,http://itv.iptv1688.top:2016/itv.php?id=CCTV17
CETV-01,http://itv.iptv1688.top:2016/itv.php?id=CETV1
CETV-02,http://itv.iptv1688.top:2016/itv.php?id=CETV2
CETV-04,http://itv.iptv1688.top:2016/itv.php?id=CETV4
CETV-01,http://itv.iptv1688.top:2016/itv.php?id=CETV1
CETV-02,http://itv.iptv1688.top:2016/itv.php?id=CETV2
CETV-04,http://itv.iptv1688.top:2016/itv.php?id=CETV4


电影,#genre#
动作电影,http://107.174.52.32/itv.php?id=CHC动作电影
家庭影院,http://107.174.52.32/itv.php?id=CHC家庭影院
影迷电影,http://107.174.52.32/itv.php?id=CHC影迷电影

卫视,#genre#
咪咕体育,http://itv.iptv1688.top:2016/itv.php?id=咪咕体育
北京卫视,http://itv.iptv1688.top:2016/itv.php?id=北京卫视
东方卫视,http://itv.iptv1688.top:2016/itv.php?id=东方卫视
广东卫视,http://itv.iptv1688.top:2016/itv.php?id=广东卫视
深圳卫视,http://itv.iptv1688.top:2016/itv.php?id=深圳卫视
天津卫视,http://itv.iptv1688.top:2016/itv.php?id=天津卫视
安徽卫视,http://itv.iptv1688.top:2016/itv.php?id=安徽卫视
山东卫视,http://itv.iptv1688.top:2016/itv.php?id=山东卫视
辽宁卫视,http://itv.iptv1688.top:2016/itv.php?id=辽宁卫视
河北卫视,http://itv.iptv1688.top:2016/itv.php?id=河北卫视
河南卫视,http://itv.iptv1688.top:2016/itv.php?id=河南卫视
江西卫视,http://itv.iptv1688.top:2016/itv.php?id=江西卫视
湖北卫视,http://itv.iptv1688.top:2016/itv.php?id=湖北卫视
四川卫视,http://itv.iptv1688.top:2016/itv.php?id=四川卫视
重庆卫视,http://itv.iptv1688.top:2016/itv.php?id=重庆卫视
贵州卫视,http://itv.iptv1688.top:2016/itv.php?id=贵州卫视
广西卫视,http://itv.iptv1688.top:2016/itv.php?id=广西卫视
东南卫视,http://itv.iptv1688.top:2016/itv.php?id=东南卫视
海南卫视,http://itv.iptv1688.top:2016/itv.php?id=海南卫视
吉林卫视,http://itv.iptv1688.top:2016/itv.php?id=吉林卫视
青海卫视,http://itv.iptv1688.top:2016/itv.php?id=青海卫视
山西卫视,http://itv.iptv1688.top:2016/itv.php?id=山西卫视
陕西卫视,http://itv.iptv1688.top:2016/itv.php?id=陕西卫视
宁夏卫视,http://itv.iptv1688.top:2016/itv.php?id=宁夏卫视
西藏卫视,http://itv.iptv1688.top:2016/itv.php?id=西藏卫视
甘肃卫视,http://itv.iptv1688.top:2016/itv.php?id=甘肃卫视
新疆卫视,http://itv.iptv1688.top:2016/itv.php?id=新疆卫视
延边卫视,http://itv.iptv1688.top:2016/itv.php?id=延边卫视
兵团卫视,http://itv.iptv1688.top:2016/itv.php?id=兵团卫视
内蒙古视,http://itv.iptv1688.top:2016/itv.php?id=内蒙古卫视
黑龙江视,http://itv.iptv1688.top:2016/itv.php?id=黑龙江卫视
山东教育,http://itv.iptv1688.top:2016/itv.php?id=山东教育
金鹰卡通,http://itv.iptv1688.top:2016/itv.php?id=金鹰卡通
哈哈炫动,http://itv.iptv1688.top:2016/itv.php?id=哈哈炫动
优漫卡通,http://itv.iptv1688.top:2016/itv.php?id=优漫卡通
