
歌曲,#genre# 
别知己,https://vd3.bdstatic.com/mda-pekbzwejzv6m3h6d/hd/cae_h264/1684832121402940833/mda-pekbzwejzv6m3h6d.mp4 
飘雪,https://vdse.bdstatic.com//185110fe36cdabbe52cb5d42d5d51731.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-01-24T07%3A38%3A23Z%2F-1%2Fhost%2Fe0fa6f3279a2e7ffd702c81350490eafceb100d8cedc995ce3721589163e38b7&vid=9698093003597951199 
红颜知己,https://vdse.bdstatic.com//252a77dd63cb8fd4130bbc5c8190b4a0.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-11-08T06%3A41%3A34Z%2F-1%2Fhost%2F95ef3c6ccd30ed6cf547063e6d65d82f23a0672414638afd26833d6604027fcf&vid=16956617984407267953 
爱是你我,https://vd3.bdstatic.com/mda-qie68n1jizaqdwwp/sc/cae_h264/1726376036444653133/mda-qie68n1jizaqdwwp.mp4?pd=19&vt=1 
苹果香,https://alimov2.a.kwimgs.com/bs3/video-hls/5235153238597092513_hlsb.m3u8
神话,https://alimov2.a.kwimgs.com/bs3/video-hls/5193494942660669688_hlsb.m3u8
小丽,https://alimov2.a.kwimgs.com/bs3/video-hls/5247538139332352941_hlsb.m3u8
感谢所有爱我的人,https://vdse.bdstatic.com//b01518813ef433f63d7e17fd6bcbb5eb.mp4
九妹九妹,https://vd3.bdstatic.com/mda-nau8s6nsyj96mffw/480p/h264_delogo/1643441061627872991/mda-nau8s6nsyj96mffw.mp4
好歌曲,https://vd4.bdstatic.com/mda-na80443ndqdjn9a5/480p/h264_delogo/1641689489102824916/mda-na80443ndqdjn9a5.mp4
流行舞曲,https://txmov2.a.kwimgs.com/upic/2024/01/28/23/BMjAyNDAxMjgyMzIxNDBfMjM5NDYzNDY0NV8xMjMzODYwOTE2NjlfMl8z_b_B3fb0c296da3db90ae1810c32aa8d87d2.mp4?clientCacheKey=3xcvhddw2gmruju_b.mp4&tt=b&di=7b0d0621&bp=10000
别知己,https://vd3.bdstatic.com/mda-pjpmxj8nps7esymw/576p/h264/1698161340027041596/mda-pjpmxj8nps7esymw.mp4
劲爆热舞,https://txmov2.a.kwimgs.com/upic/2024/01/28/23/BMjAyNDAxMjgyMzE4NTBfMjM5NDYzNDY0NV8xMjMzODU4NDc1NTFfMl8z_b_Bfbf57eec0884d3c429a206134c59899b.mp4?clientCacheKey=3xq3d533hx34856_b.mp4&tt=b&di=6a2aa95a&bp=10000
美女热舞,https://mpimg.cn/view.php/8683d1512507decdaf08fc4cf87772fb.mp4
